match_id,season,competition,round,date,home_team_id,away_team_id,home_goals,away_goals,arena,result
66,2003,Brasileirão Série A,6,2003-04-27,BRA024,BRA031,7,0, Serra Dourada,H
67,2003,Brasileirão Série A,6,2003-04-27,BRA020,BRA036,0,0, Orlando Scarpelli,D
68,2003,Brasileirão Série A,6,2003-04-27,BRA040,BRA023,4,0, Vila Belmiro,H
69,2003,Brasileirão Série A,6,2003-04-27,BRA025,BRA022,0,1, Olímpico,A
70,2003,Brasileirão Série A,6,2003-04-27,BRA003,BRA017,5,2, Arena da Baixada,H
71,2003,Brasileirão Série A,6,2003-04-27,BRA035,BRA042,5,2, Mangueirão,H
72,2003,Brasileirão Série A,6,2003-04-27,BRA044,BRA041,1,0, São Januário,H
73,2003,Brasileirão Série A,7,2003-05-03,BRA021,BRA045,2,1, Maracanã,H
74,2003,Brasileirão Série A,7,2003-05-03,BRA007,BRA025,2,1, Fonte Nova,H
75,2003,Brasileirão Série A,7,2003-05-03,BRA018,BRA003,5,2, Mineirão,H
76,2003,Brasileirão Série A,7,2003-05-04,BRA023,BRA015,1,2, Castelão,A
77,2003,Brasileirão Série A,7,2003-05-04,BRA042,BRA020,3,2, Morumbi,H
78,2003,Brasileirão Série A,7,2003-05-04,BRA041,BRA035,2,0, Anacleto Campanella,H
79,2003,Brasileirão Série A,7,2003-05-04,BRA028,BRA024,2,1, Beira Rio,H
80,2003,Brasileirão Série A,7,2003-05-04,BRA036,BRA005,2,1, Moisés Lucarelli,H
81,2003,Brasileirão Série A,7,2003-05-04,BRA031,BRA027,1,1, Alfredo Jaconi,D
82,2003,Brasileirão Série A,7,2003-05-04,BRA016,BRA034,2,1, Couto Pereira,H
83,2003,Brasileirão Série A,7,2003-05-04,BRA017,BRA040,1,3, Heriberto Hulse,A
84,2003,Brasileirão Série A,7,2003-05-04,BRA022,BRA044,0,0, Maracanã,D
85,2003,Brasileirão Série A,8,2003-05-10,BRA024,BRA021,1,1, Serra Dourada,D
86,2003,Brasileirão Série A,8,2003-05-10,BRA040,BRA018,0,2, Vila Belmiro,A
87,2003,Brasileirão Série A,8,2003-05-10,BRA034,BRA036,3,2, Pinheirão,H
88,2003,Brasileirão Série A,8,2003-05-10,BRA015,BRA017,3,0, Pacaembu,H
89,2003,Brasileirão Série A,8,2003-05-11,BRA044,BRA007,1,1, São Januário,D
90,2003,Brasileirão Série A,8,2003-05-11,BRA035,BRA022,2,2, Mangueirão,D
91,2003,Brasileirão Série A,8,2003-05-11,BRA005,BRA042,2,2, Mineirão,D
92,2003,Brasileirão Série A,8,2003-05-11,BRA045,BRA023,2,1, Barradão,H
93,2003,Brasileirão Série A,8,2003-05-11,BRA027,BRA028,3,0, Brinco de Ouro,H
94,2003,Brasileirão Série A,8,2003-05-11,BRA003,BRA031,2,0, Arena da Baixada,H
95,2003,Brasileirão Série A,8,2003-05-11,BRA020,BRA041,3,0, Orlando Scarpelli,H
96,2003,Brasileirão Série A,8,2003-05-11,BRA025,BRA016,1,0, Olímpico,H
97,2003,Brasileirão Série A,9,2003-05-17,BRA022,BRA020,3,0, Maracanã,H
98,2003,Brasileirão Série A,9,2003-05-17,BRA041,BRA005,2,0, Anacleto Campanella,H
99,2003,Brasileirão Série A,9,2003-05-17,BRA031,BRA040,1,1, Alfredo Jaconi,D
100,2003,Brasileirão Série A,9,2003-05-18,BRA007,BRA035,2,0, Fonte Nova,H
101,2003,Brasileirão Série A,9,2003-05-18,BRA028,BRA003,1,1, Beira Rio,D
102,2003,Brasileirão Série A,9,2003-05-18,BRA016,BRA044,1,1, Couto Pereira,D
103,2003,Brasileirão Série A,9,2003-05-18,BRA018,BRA015,1,1, Mineirão,D
104,2003,Brasileirão Série A,9,2003-05-18,BRA023,BRA024,1,0, Castelão,H
105,2003,Brasileirão Série A,9,2003-05-18,BRA036,BRA025,2,1, Moisés Lucarelli,H
106,2003,Brasileirão Série A,9,2003-05-18,BRA017,BRA045,1,1, Heriberto Hulse,D
107,2003,Brasileirão Série A,9,2003-05-18,BRA021,BRA027,1,1, Maracanã,D
108,2003,Brasileirão Série A,9,2003-05-18,BRA042,BRA034,2,0, Morumbi,H
109,2003,Brasileirão Série A,10,2003-05-24,BRA005,BRA022,3,0,  Independência,H
110,2003,Brasileirão Série A,10,2003-05-24,BRA034,BRA041,1,1, Pinheirão,D
111,2003,Brasileirão Série A,10,2003-05-24,BRA015,BRA031,3,0, Pacaembu,H
112,2003,Brasileirão Série A,10,2003-05-24,BRA044,BRA036,1,0, São Januário,H
