season,rho,log_likelihood,aic,bic,converged,n_iterations
2018,0.034680117692857164,-3986.756841533461,8143.513683066922,8714.72507607702,True,49
2019,0.018831549663873768,-3944.4677277534715,8058.935455506943,8635.263198737404,True,47
2020,0.02250332477246796,-3930.236242136889,8034.472484273778,8629.300220044937,True,58
2021,-0.004737126582350001,-3958.2148256773057,8094.429651354611,8707.712949619001,True,65
2022,-0.006858940586714361,-3944.5239391824744,8071.047878364949,8702.752326135997,True,55
2023,0.006572501727215755,-3936.2037449717345,8054.407489943469,8690.526332211306,True,68
2024,0.0034689402488600955,-3979.5663291168535,8141.132658233707,8781.461624405394,True,70
2025,0.0026578562129001004,-3976.1183861657737,8134.236772331547,8778.589663388077,True,77
2026,0.008231606338527785,-3996.849768813645,8179.69953762729,8842.152223532754,True,66
